COMMUNE;DEPT;CODE POSTAL;LAT;LON
Nivollet-Montgriffon;1;1230;46.0;5.458
Oncieu;1;1230;45.965;5.472
Ordonnaz;1;1510;45.834;5.54
Ornex;1;1210;46.278;6.094
Outriaz;1;1430;46.068;5.557
Oyonnax;1;1100;46.26;5.653
Ozan;1;1190;46.387;4.918
Parcieux;1;1600;45.918;4.828
Parves et Nattages;1;1300;45.744;5.738
Péron;1;1630;46.191;5.92
Péronnas;1;1960;46.171;5.218
Pérouges;1;1800;45.88;5.18
Perrex;1;1540;46.246;4.975
Peyriat;1;1430;46.15;5.506
Peyrieu;1;1300;45.676;5.679
Peyzieux-sur-Saône;1;1140;46.123;4.822
Pirajoux;1;1270;46.386;5.274
Pizay;1;1120;45.893;5.089
Plagne;1;1130;46.188;5.718
Le Plantay;1;1330;46.023;5.089
Polliat;1;1310;46.246;5.138
Pollieu;1;1350;45.796;5.748
Poncin;1;1450;46.09;5.417
Pont-d'Ain;1;1160;46.054;5.347
Pont-de-Vaux;1;1190;46.442;4.929
Pont-de-Veyle;1;1290;46.264;4.882
Port;1;1460;46.156;5.576
Pougny;1;1550;46.145;5.951
Pouillat;1;1250;46.322;5.423
Prémeyzel;1;1300;45.681;5.644
Prémillieu;1;1110;45.876;5.565
Prévessin-Moëns;1;1280;46.258;6.072
Priay;1;1160;46.02;5.285
Ramasse;1;1250;46.191;5.356
Rancé;1;1390;45.967;4.863
Relevant;1;1990;46.084;4.942
Replonges;1;1750;46.308;4.875
Revonnas;1;1250;46.162;5.335
Reyrieux;1;1600;45.937;4.828
Reyssouze;1;1190;46.429;4.913
Rignieux-le-Franc;1;1800;45.952;5.169
Romans;1;1400;46.124;5.022
Rossillon;1;1510;45.836;5.599
Ruffieu;1;1260;46.004;5.653
Saint-Alban;1;1450;46.098;5.456
Saint-André-de-Bâgé;1;1380;46.298;4.914
Saint-André-de-Corcy;1;1390;45.927;4.954
Saint-André-d'Huiriat;1;1290;46.214;4.913
Saint-André-le-Bouchoux;1;1240;46.113;5.08
Saint-André-sur-Vieux-Jonc;1;1960;46.149;5.142
Saint-Bénigne;1;1190;46.452;4.953
Groslée-Saint-Benoit;1;1300;45.689;5.584
Saint-Bernard;1;1600;45.949;4.743
Sainte-Croix;1;1120;45.896;5.049
Saint-Cyr-sur-Menthon;1;1380;46.275;4.968
Saint-Denis-lès-Bourg;1;1000;46.211;5.185
Saint-Denis-en-Bugey;1;1500;45.949;5.324
Saint-Didier-d'Aussiat;1;1340;46.307;5.058
Saint-Didier-de-Formans;1;1600;45.956;4.778
Saint-Didier-sur-Chalaronne;1;1140;46.184;4.816
Saint-Éloi;1;1800;45.932;5.152
Saint-Étienne-du-Bois;1;1370;46.275;5.284
Saint-Étienne-sur-Chalaronne;1;1140;46.147;4.867
Saint-Étienne-sur-Reyssouze;1;1190;46.403;5.006
Sainte-Euphémie;1;1600;45.967;4.795
Saint-Genis-Pouilly;1;1630;46.254;6.036
Saint-Genis-sur-Menthon;1;1380;46.282;5.013
Saint-Georges-sur-Renon;1;1400;46.104;5.03
Saint-Germain-de-Joux;1;1130;46.182;5.747
Saint-Germain-les-Paroisses;1;1300;45.771;5.618
Saint-Germain-sur-Renon;1;1240;46.08;5.061
Saint-Jean-de-Gonville;1;1630;46.218;5.942
Saint-Jean-de-Niost;1;1800;45.84;5.212
Saint-Jean-de-Thurigneux;1;1390;45.96;4.899
Saint-Jean-le-Vieux;1;1640;46.029;5.382
Saint-Jean-sur-Reyssouze;1;1560;46.397;5.063
Saint-Jean-sur-Veyle;1;1290;46.268;4.922
Sainte-Julie;1;1150;45.882;5.284
Saint-Julien-sur-Reyssouze;1;1560;46.4;5.104
Saint-Julien-sur-Veyle;1;1540;46.202;4.959
Saint-Just;1;1250;46.193;5.285
Saint-Laurent-sur-Saône;1;1750;46.305;4.84
Saint-Marcel;1;1390;45.949;4.99
Saint-Martin-de-Bavel;1;1510;45.848;5.679
Saint-Martin-du-Frêne;1;1430;46.136;5.571
Saint-Martin-du-Mont;1;1160;46.106;5.326
Saint-Martin-le-Châtel;1;1310;46.291;5.123
Saint-Maurice-de-Beynost;1;1700;45.834;4.977
Saint-Maurice-de-Gourdans;1;1800;45.82;5.17
